i,name,halantname,type,karma,iXt,english,hindi,dhaatu,ii,startshal
१.००१४,स्पदिँ,स्पन्द्, आत्मनेपदी, अकर्मकः,सेट्,"to vibrate, to shake, to move a little, to palpitate, to quake, to tremble, to kick","धीरे धीरे चलना, काँपना, थरथराना",स्पन्द्स्पदिँ किञ्चिच्चलनेभ्वादिः,14,FALSE
१.००१५,क्लिदिँ,क्लिन्द्, आत्मनेपदी, सकर्मकः,सेट्,to lament,"रोना, शोक करना",क्लिन्द्क्लिदिँ परिदेवनेभ्वादिः,15,FALSE
१.००१६,मुदँ,मुद्, आत्मनेपदी, अकर्मकः,सेट्,"to be glad, to be happy, to rejoice, to delight","आनन्दित होना, प्रसन्न होना",मुद्मुदँ हर्षेभ्वादिः,16,FALSE
१.००१७,ददँ,दद्, आत्मनेपदी, अकर्मकः,सेट्,"to give, to offer, to present","दान करना, देना, त्याग करना",दद्ददँ दानेभ्वादिः,17,FALSE
१.००१८,ष्वदँ,स्वद्, आत्मनेपदी, सकर्मकः,सेट्,"to taste, to eat, to please the tongue, to have delight","स्वाद लेना, चखना",स्वद्ष्वदँ आस्वादनेभ्वादिः,18,FALSE
१.००१९,स्वर्दँ,स्वर्द्, आत्मनेपदी, सकर्मकः,सेट्,"to taste, to eat, to please the tongue, to have delight","स्वाद लेना, चखना",स्वर्द्स्वर्दँ आस्वादनेभ्वादिः,19,FALSE
१.००२,उर्दँ,ऊर्द्, आत्मनेपदी, अकर्मकः,सेट्,"to measure, to leap, to jump, to taste, to grant, to be cheerful","नापना, गिनना, क्रीडा करना, खेलना",ऊर्द्उर्दँ माने क्रीडायां चभ्वादिः,20,FALSE
१.००२१,कुर्दँ,कूर्द्, आत्मनेपदी, अकर्मकः,सेट्,"to leap, to jump",खेलना,कूर्द्कुर्दँ क्रीडायाम् एवभ्वादिः,21,FALSE
१.००२२,खुर्दँ,खूर्द्, आत्मनेपदी, अकर्मकः,सेट्,"to leap, to jump",खेलना,खूर्द्खुर्दँ क्रीडायाम् एवभ्वादिः,22,FALSE
१.००२३,गुर्दँ,गूर्द्, आत्मनेपदी, अकर्मकः,सेट्,"to leap, to jump",खेलना,गूर्द्गुर्दँ क्रीडायाम् एवभ्वादिः,23,FALSE
१.००२४,गुदँ,गुद्, आत्मनेपदी, अकर्मकः,सेट्,"to leap, to jump",खेलना,गुद्गुदँ क्रीडायाम् एवभ्वादिः,24,FALSE
१.००२५,षूदँ,सूद्, आत्मनेपदी, सकर्मकः,सेट्,"to trickle, to leak, to ooze out, to distill, to emerge drop by drop","टपकना, झरना, मार डालना, मारने की कोशिश करना",सूद्षूदँ क्षरणेभ्वादिः,25,FALSE
१.००२६,ह्रादँ,ह्राद्, आत्मनेपदी, अकर्मकः,सेट्,to make a sound,अस्पष्ट शब्द करना,ह्राद्ह्रादँ अव्यक्ते शब्देभ्वादिः,26,FALSE
१.००२७,ह्लादीँ,ह्लाद्, आत्मनेपदी, अकर्मकः,सेट्,"to be glad, to be pleasant, to make a sound","सुखी होना, प्रयत्न करना, अस्पष्ट शब्द करना",ह्लाद्ह्लादीँ अव्यक्ते शब्दे सुखे चभ्वादिः,27,FALSE
१.००२८,स्वादँ,स्वाद्, आत्मनेपदी, सकर्मकः,सेट्,"to taste, to please the tongue, to have delight","स्वाद लेना, चखना",स्वाद्स्वादँ आस्वादनेभ्वादिः,28,FALSE
१.००२९,पर्दँ,पर्द्, आत्मनेपदी, अकर्मकः,सेट्,to fart,वायु त्याग करना,पर्द्पर्दँ कुत्सिते शब्देभ्वादिः,29,FALSE
१.००३,यतीँ,यत्, आत्मनेपदी, अकर्मकः,सेट्,"to try, to strive, to make effort, to attempt","प्रयत्न करना, उद्योग करना",यत्यतीँ प्रयत्नेभ्वादिः,30,FALSE
१.००३१,युतृँ,युत्, आत्मनेपदी, अकर्मकः,सेट्,to shine,"चमकना, प्रकाशित होना",युत्युतृँ भासनेभ्वादिः,31,FALSE
१.००३२,जुतृँ,जुत्, आत्मनेपदी, अकर्मकः,सेट्,to shine,"चमकना, प्रकाशित होना",जुत्जुतृँ भासनेभ्वादिः,32,FALSE
१.००३३,विथृँ,विथ्, आत्मनेपदी, द्विकर्मकः,सेट्,"to beg, to ask","मांगना, याचना करना",विथ्विथृँ याचनेभ्वादिः,33,FALSE
१.००३४,वेथृँ,वेथ्, आत्मनेपदी, द्विकर्मकः,सेट्,"to beg, to ask","मांगना, याचना करना",वेथ्वेथृँ याचनेभ्वादिः,34,FALSE
१.००३५,श्रथिँ,श्रन्थ्, आत्मनेपदी, अकर्मकः,सेट्,"to be tired, to be fatigued","शिथिल करना, ढीला करना, शिथिल होना, ढीला होना",श्रन्थ्श्रथिँ शैथिल्येभ्वादिः,35,FALSE
१.००३६,ग्रथिँ,ग्रन्थ्, आत्मनेपदी, अकर्मकः,सेट्,"to be crooked, to be wicked","वक्र होना, टेढा होना, दुष्ट होना, गांठ बांधना, गूथना",ग्रन्थ्ग्रथिँ कौटिल्येभ्वादिः,36,FALSE
१.००३७,कत्थँ,कत्थ्, आत्मनेपदी, सकर्मकः,सेट्,"to praise, to boast, to flatter","प्रशंसा करना, स्तुति करना, झूटी बढाई करना",कत्थ्कत्थँ श्लाघायाम्भ्वादिः,37,FALSE
१.००३८,अतँ,अत्, परस्मैपदी, सकर्मकः,सेट्,"to run, to walk with speed, to move continuously","जाना, सदैव जाते रहना",अत्अतँ सातत्यगमनेभ्वादिः,38,FALSE
१.००३९,चितीँ,चित्, परस्मैपदी, अकर्मकः,सेट्,"to perceive, to think, to recover consciousness, to observe, to see, to regain consciousness","अच्छी तरह विचार करना, चिंतन करना, होश में आना",चित्चितीँ संज्ञानेभ्वादिः,39,FALSE
१.००४,च्युतिँर्,च्युत्, परस्मैपदी, सकर्मकः,सेट्,"to flow, to trickle, to fall, to deviate","सींचना, भीगोना, बहना",च्युत्च्युतिँर् आसेचनेभ्वादिः,40,FALSE
१.००४१,श्चुतिँर्,श्चुत्, परस्मैपदी, सकर्मकः,सेट्,"to flow, to trickle, to fall, to deviate",,श्चुत्श्चुतिँर् आसेचनेभ्वादिः,41,FALSE
१.००४२,श्च्युतिँर्,श्च्युत्, परस्मैपदी, अकर्मकः,सेट्,"to flow, to trickle, to fall, to deviate","टपकना, झरना, सींचना, प्रोक्षण करना, छिडकना",श्च्युत्श्च्युतिँर् क्षरणेभ्वादिः,42,FALSE
१.००४३,ज्युतृँ,ज्युत्, परस्मैपदी, अकर्मकः,सेट्,"to illumine, to shine",,ज्युत्ज्युतृँ भासनेभ्वादिः,43,FALSE
१.००४४,मथिँ,मन्थ्, परस्मैपदी, सकर्मकः,सेट्,"to strike, to destroy, to kill, to crush, to tear off, to injure, to cause pain","मार डालना, दुःख देना, दुःख भोगना, पीडित होना",मन्थ्मथिँ हिंसासङ्क्लेशनयोःभ्वादिः,44,FALSE
१.००४५,कुथिँ,कुन्थ्, परस्मैपदी, सकर्मकः,सेट्,"to strike, to destroy, to kill, to crush, to tear off, to injure, to cause pain","मार डालना, दुःख देना, दुःख भोगना, पीडित होना",कुन्थ्कुथिँ हिंसासङ्क्लेशनयोःभ्वादिः,45,FALSE
१.००४६,पुथिँ,पुन्थ्, परस्मैपदी, सकर्मकः,सेट्,"to strike, to destroy, to kill, to crush, to tear off, to injure, to cause pain","मार डालना, दुःख देना, दुःख भोगना, पीडित होना",पुन्थ्पुथिँ हिंसासङ्क्लेशनयोःभ्वादिः,46,FALSE
१.००४७,लुथिँ,लुन्थ्, परस्मैपदी, सकर्मकः,सेट्,"to strike, to destroy, to kill, to crush, to tear off, to injure, to cause pain","मार डालना, दुःख देना, दुःख भोगना, पीडित होना",लुन्थ्लुथिँ हिंसासङ्क्लेशनयोःभ्वादिः,47,FALSE
१.००४८,मन्थँ,मन्थ्, परस्मैपदी, द्विकर्मकः,सेट्,"to churn, to shake, to stir, to strike, to agitate, to splash","बिलोना, मथना, पीड़ा देना",मन्थ्मन्थँ विलोडनेभ्वादिः,48,FALSE
१.००४९,षिधँ,सिध्, परस्मैपदी, सकर्मकः,सेट्,"to regulate, to punish, to hinder, to instruct, to scare away, to drive off, to restrain",जाना,सिध्षिधँ गत्याम्भ्वादिः,49,FALSE
१.००५,षिधूँ,सिध्, परस्मैपदी, सकर्मकः,वेट्,"to rule, to be auspicious","आज्ञा करना, शासन करना, मङ्गल कर्म करना",सिध्षिधूँ शास्त्रे माङ्गल्ये चभ्वादिः,50,FALSE
१.००५१,खादृँ,खाद्, परस्मैपदी, सकर्मकः,सेट्,"to eat, to consume",खाना,खाद्खादृँ भक्षणेभ्वादिः,51,FALSE
१.००५२,खदँ,खद्, परस्मैपदी, सकर्मकः,सेट्,"to be firm, to be steady, to hurt, to kill, to eat, to consume, to bite","स्थिर रहना, मार डालना, सताना, खाना",खद्खदँ स्थैर्ये हिंसायां भक्षणे चभ्वादिः,52,FALSE
१.००५३,बदँ,बद्, परस्मैपदी, अकर्मकः,सेट्,"to be firm, to be steady",स्थिर रहना,बद्बदँ स्थैर्येभ्वादिः,53,FALSE
१.००५४,गदँ,गद्, परस्मैपदी, सकर्मकः,सेट्,"to speak, to tell, to explain, to talk",स्पष्ट बोलना,गद्गदँ व्यक्तायां वाचिभ्वादिः,54,FALSE
१.००५५,रदँ,रद्, परस्मैपदी, सकर्मकः,सेट्,"to cut, to split, to scratch, to divide","विदारण करना, चीरना, खोदना",रद्रदँ विलेखनेभ्वादिः,55,FALSE
१.००५६,णदँ,नद्, परस्मैपदी, अकर्मकः,सेट्,"to thunder, to road, to make a loud sound","अस्पष्ट शब्द करना, आवाज करना",नद्णदँ अव्यक्ते शब्देभ्वादिः,56,FALSE
१.००५७,अर्दँ,अर्द्, परस्मैपदी, सकर्मकः,सेट्,"to go, to beg, to request","जाना, मांगना, याचना करना, मारना",अर्द्अर्दँ गतौ याचने चभ्वादिः,57,FALSE
१.००५८,नर्दँ,नर्द्, परस्मैपदी, अकर्मकः,सेट्,"to make a sound, to shout",शब्द करना,नर्द्नर्दँ शब्देभ्वादिः,58,FALSE
१.००५९,गर्दँ,गर्द्, परस्मैपदी, अकर्मकः,सेट्,"to make a sound, to shout",शब्द करना,गर्द्गर्दँ शब्देभ्वादिः,59,FALSE
१.००६,तर्दँ,तर्द्, परस्मैपदी, सकर्मकः,सेट्,"to injure, to hurt, to kill, to destroy","मारना, हिंसा करना",तर्द्तर्दँ हिंसायाम्भ्वादिः,60,FALSE
१.००६१,कर्दँ,कर्द्, परस्मैपदी, अकर्मकः,सेट्,"to rumble, to caw","कौवे के समान शब्द करना, पेट गुड़गुड़ाना, अन्त्रकुजन होना",कर्द्कर्दँ कुत्सिते शब्देभ्वादिः,61,FALSE
१.००६२,खर्दँ,खर्द्, परस्मैपदी, सकर्मकः,सेट्,"to bite, to sting","चबाना, दांतों से काटना",खर्द्खर्दँ दन्दशूकेभ्वादिः,62,FALSE
१.००६३,अतिँ,अन्त्, परस्मैपदी, सकर्मकः,सेट्,to bind,"बांधना, पाना, हासिल करना",अन्त्अतिँ बन्धनेभ्वादिः,63,FALSE
१.००६४,अदिँ,अन्द्, परस्मैपदी, सकर्मकः,सेट्,to bind,"बांधना, पाना, हासिल करना",अन्द्अदिँ बन्धनेभ्वादिः,64,FALSE
१.००६५,इदिँ,इन्द्, परस्मैपदी, अकर्मकः,सेट्,"to be powerful, to be gifted, to have divine power","अमानवीय पराक्रम होना, ईश्वरी शक्ति होना, ऐश्वर्य युक्त होना",इन्द्इदिँ परमैश्वर्येभ्वादिः,65,FALSE
१.००६६,बिदिँ,बिन्द्, परस्मैपदी, अकर्मकः,सेट्,"to split, to cleave, to divide","टुकड़े होना, विभक्त होना, अलग hona",बिन्द्बिदिँ अवयवेभ्वादिः,66,FALSE
१.००६७,भिदिँ,भिन्द्, परस्मैपदी, अकर्मकः,सेट्,"to split, to cleave, to divide",,भिन्द्भिदिँ अवयवेभ्वादिः,67,FALSE
१.००६८,गडिँ,गण्ड्, परस्मैपदी, अकर्मकः,सेट्,to have cheek disease,"गालोंमें रोग होना, गण्डमाला होना",गण्ड्गडिँ वदनैकदेशेभ्वादिः,68,FALSE
१.००६९,णिदिँ,निन्द्, परस्मैपदी, सकर्मकः,सेट्,"to blame, to censure, to condemn, to insult, to ridicule, to revile, to criticise","निन्दा करना, दोष लगाना",निन्द्णिदिँ कुत्सायाम्भ्वादिः,69,FALSE
१.००७,टुनदिँ,नन्द्, परस्मैपदी, अकर्मकः,सेट्,to prosper,"वृद्धि होना, बढ़ती होना",नन्द्टुनदिँ समृद्धौभ्वादिः,70,FALSE
१.००७१,चदिँ,चन्द्, परस्मैपदी, सकर्मकः,सेट्,"to be glad, to shine","आनन्द पाना, खुश होना, चमकना",चन्द्चदिँ आह्लादे दीप्तौ चभ्वादिः,71,FALSE
१.००७२,त्रदिँ,त्रन्द्, परस्मैपदी, अकर्मकः,सेट्,"to try, to be busy, to be active","प्रयत्न करना, उद्यम करना",त्रन्द्त्रदिँ चेष्टायाम्भ्वादिः,72,FALSE
१.००७३,कदिँ,कन्द्, परस्मैपदी, सकर्मकः,सेट्,"to call out, to cry, to cry out continually, to lament, to grieve, to shed tears","पुकारना, रोना",कन्द्कदिँ आह्वाने रोदने चभ्वादिः,73,FALSE
१.००७४,क्रदिँ,क्रन्द्, परस्मैपदी, सकर्मकः,सेट्,"to call out, to cry, to cry out continually, to lament, to grieve, to shed tears","पुकारना, रोना",क्रन्द्क्रदिँ आह्वाने रोदने चभ्वादिः,74,FALSE
१.००७५,क्लदिँ,क्लन्द्, परस्मैपदी, सकर्मकः,सेट्,"to call out, to cry, to cry out continually, to lament, to grieve, to shed tears","पुकारना, रोना",क्लन्द्क्लदिँ आह्वाने रोदने चभ्वादिः,75,FALSE
१.००७६,क्लिदिँ,क्लिन्द्, परस्मैपदी, सकर्मकः,सेट्,"to lament to grieve, to shed tears, to have sorrow","रोना, शोक करना",क्लिन्द्क्लिदिँ परिदेवनेभ्वादिः,76,FALSE
१.००७७,शुन्धँ,शुन्ध्, परस्मैपदी, अकर्मकः,सेट्,"to purify, to cleanse","शुद्ध होना, पवित्र होना",शुन्ध्शुन्धँ शुद्धौभ्वादिः,77,FALSE
१.००७८,शीकृँ,शीक्, आत्मनेपदी, सकर्मकः,सेट्,to sprinkle,सींचना,शीक्शीकृँ सेचनेभ्वादिः,78,FALSE
१.००७९,सीकृँ,सीक्, आत्मनेपदी, सकर्मकः,सेट्,to sprinkle,,सीक्सीकृँ सेचनेभ्वादिः,79,FALSE
१.००८,लोकृँ,लोक्, आत्मनेपदी, सकर्मकः,सेट्,"to see, to perceive, to look",देखना,लोक्लोकृँ दर्शनेभ्वादिः,80,FALSE
१.००८१,श्लोकृँ,श्लोक्, आत्मनेपदी, सकर्मकः,सेट्,"to compose, to write poem","श्लोक बनाना, कविता करना, रचना करना",श्लोक्श्लोकृँ सङ्घातेभ्वादिः,81,FALSE
१.००८२,स्रोकृँ,स्रोक्, आत्मनेपदी, सकर्मकः,सेट्,"to compose, to write poem",,स्रोक्स्रोकृँ सङ्घातेभ्वादिः,82,FALSE
१.००८३,द्रेकृँ,द्रेक्, आत्मनेपदी, अकर्मकः,सेट्,"to sound, to show joy, to be exhilarated","शब्द करना, उत्साह करना, आनन्द प्रकट करना",द्रेक्द्रेकृँ शब्दोत्साहयोःभ्वादिः,83,FALSE
१.००८४,ध्रेकृँ,ध्रेक्, आत्मनेपदी, अकर्मकः,सेट्,"to sound, to show joy, to be exhilarated","शब्द करना, उत्साह करना, आनन्द प्रकट करना",ध्रेक्ध्रेकृँ शब्दोत्साहयोःभ्वादिः,84,FALSE
१.००८५,रेकृँ,रेक्, आत्मनेपदी, सकर्मकः,सेट्,"to doubt, to suspect",शंका करना,रेक्रेकृँ शङ्कायाम्भ्वादिः,85,FALSE
१.००८६,सेकृँ,सेक्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to move",जाना,सेक्सेकृँ गतौभ्वादिः,86,FALSE
१.००८७,स्रेकृँ,स्रेक्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to move",जाना,स्रेक्स्रेकृँ गतौभ्वादिः,87,FALSE
१.००८८,स्रकिँ,स्रङ्क्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to move",जाना,स्रङ्क्स्रकिँ गतौभ्वादिः,88,FALSE
१.००८९,श्रकिँ,श्रङ्क्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to move",जाना,श्रङ्क्श्रकिँ गतौभ्वादिः,89,FALSE
१.००९,श्लकिँ,श्लङ्क्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to move",जाना,श्लङ्क्श्लकिँ गतौभ्वादिः,90,FALSE
१.००९१,शकिँ,शङ्क्, आत्मनेपदी, सकर्मकः,सेट्,"to doubt, to suspect","शंका करना, संशय करना",शङ्क्शकिँ शङ्कायाम्भ्वादिः,91,FALSE
१.००९२,अकिँ,अङ्क्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to blame, to censure, to condemn, to insult, to ridicule, to revile, to criticise","चिह्न करना, टेढा जाना",अङ्क्अकिँ लक्षणेभ्वादिः,92,FALSE
१.००९३,वकिँ,वङ्क्, आत्मनेपदी, अकर्मकः,सेट्,"to be crooked, to bend, to move in curve","वक्र होना, टेढा होना, दुष्टता करना, नमना, टेढ़ा जाना",वङ्क्वकिँ कौटिल्येभ्वादिः,93,FALSE
१.००९४,मकिँ,मङ्क्, आत्मनेपदी, सकर्मकः,सेट्,to decorate,"संवारना, अलंकृत करना",मङ्क्मकिँ मण्डनेभ्वादिः,94,FALSE
१.००९५,ककँ,कक्, आत्मनेपदी, अकर्मकः,सेट्,"to be proud, to be unsteady, to be thirsty","गर्व करना, चञ्चल होना, प्यासा होना",कक्ककँ लौल्येभ्वादिः,95,FALSE
१.००९६,कुकँ,कुक्, आत्मनेपदी, सकर्मकः,सेट्,"to take, to accept, to seize",लेना,कुक्कुकँ आदानेभ्वादिः,96,FALSE
१.००९७,वृकँ,वृक्, आत्मनेपदी, सकर्मकः,सेट्,"to accept, to seize",लेना,वृक्वृकँ आदानेभ्वादिः,97,FALSE
१.००९८,चकँ,चक्, आत्मनेपदी, सकर्मकः,सेट्,"to be satisfied, to be contended, to repel, to cheat, to betray","तृप्त होना, संतुष्ट होना, चकमा देना, धोखा देना",चक्चकँ तृप्तौ प्रतीघाते चभ्वादिः,98,FALSE
१.००९९,ककिँ,कङ्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,कङ्क्ककिँ गतौभ्वादिः,99,TRUE
१.०१,वकिँ,वङ्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,वङ्क्वकिँ गतौभ्वादिः,100,TRUE
१.०१०१,श्वकिँ,श्वङ्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,श्वङ्क्श्वकिँ गतौभ्वादिः,101,TRUE
१.०१०२,त्रकिँ,त्रङ्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,त्रङ्क्त्रकिँ गतौभ्वादिः,102,TRUE
१.०१०३,ढौकृँ,ढौक्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,ढौक्ढौकृँ गतौभ्वादिः,103,FALSE
१.०१०४,त्रौकृँ,त्रौक्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,त्रौक्त्रौकृँ गतौभ्वादिः,104,FALSE
१.०१०५,ष्वष्कँ,ष्वष्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,ष्वष्क्ष्वष्कँ गतौभ्वादिः,105,FALSE
१.०१०६,वस्कँ,वस्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,वस्क्वस्कँ गतौभ्वादिः,106,FALSE
१.०१०७,मस्कँ,मस्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,मस्क्मस्कँ गतौभ्वादिः,107,FALSE
१.०१०८,टिकृँ,टिक्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,टिक्टिकृँ गतौभ्वादिः,108,FALSE
१.०१०९,टीकृँ,टीक्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,टीक्टीकृँ गतौभ्वादिः,109,FALSE
१.०११,तिकृँ,तिक्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,तिक्तिकृँ गतौभ्वादिः,110,FALSE
१.०१११,तीकृँ,तीक्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,तीक्तीकृँ गतौभ्वादिः,111,FALSE
१.०११२,रघिँ,रङ्घ्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,रङ्घ्रघिँ गतौभ्वादिः,112,FALSE
१.०११३,लघिँ,लङ्घ्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to fast, to abstain from food","जाना, उपवास करना",लङ्घ्लघिँ गतौ भोजननिवृत्तौ चभ्वादिः,113,FALSE
१.०११४,ष्वकिँ,स्वङ्क्, आत्मनेपदी, सकर्मकः,सेट्,to go,,स्वङ्क्ष्वकिँ गतौभ्वादिः,114,FALSE
१.०११५,अघिँ,अङ्घ्, आत्मनेपदी, अकर्मकः,सेट्,"to set out, to go, to commence, to blame","गति करना, आरम्भ करना, निन्दा करना",अङ्घ्अघिँ गत्याक्षेपेभ्वादिः,115,FALSE
१.०११६,वघिँ,वङ्घ्, आत्मनेपदी, सकर्मकः,सेट्,"to set out, to go, to commence, to blame","जाना, निन्दा करना",वङ्घ्वघिँ गत्याक्षेपेभ्वादिः,116,FALSE
१.०११७,मघिँ,मङ्घ्, आत्मनेपदी, सकर्मकः,सेट्,"to set out, to go, to commence, to blame, to cheat","जाना, निन्दा करना",मङ्घ्मघिँ गत्याक्षेपे गत्यारम्भे कैतवे चभ्वादिः,117,FALSE
१.०११८,राघृँ,राघ्, आत्मनेपदी, अकर्मकः,सेट्,"to be competent, to be able, to be powerful","समर्थ होना, योग्य होना",राघ्राघृँ सामर्थ्येभ्वादिः,118,FALSE
१.०११९,लाघृँ,लाघ्, आत्मनेपदी, अकर्मकः,सेट्,"to be competent, to be able, to be powerful",समर्थ होना,लाघ्लाघृँ सामर्थ्येभ्वादिः,119,FALSE
१.०१२,द्राघृँ,द्राघ्, आत्मनेपदी, अकर्मकः,सेट्,"to be competent, to be able, to be powerful, to stretch, to spread","शक्तिमान होना, लम्बा करना, तानना",द्राघ्द्राघृँ सामर्थ्ये आयामे चभ्वादिः,120,FALSE
१.०१२१,ध्राघृँ,ध्राघ्, आत्मनेपदी, अकर्मकः,सेट्,"to be competent, to be able, to be powerful",,ध्राघ्ध्राघृँ सामर्थ्येभ्वादिः,121,FALSE
१.०१२२,श्लाघृँ,श्लाघ्, आत्मनेपदी, सकर्मकः,सेट्,"to praise, to flatter, to boast","प्रशंसा करना, आत्म स्तुति करना, फुसलाना",श्लाघ्श्लाघृँ कत्थनेभ्वादिः,122,FALSE
१.०१२३,फक्कँ,फक्क्, परस्मैपदी, सकर्मकः,सेट्,"to go slowly, to misbehave","धीरे धीरे जाना, रेंगना, खराब आचरण करना",फक्क्फक्कँ नीचैर्गतौभ्वादिः,123,FALSE
१.०१२४,तकँ,तक्, परस्मैपदी, अकर्मकः,सेट्,"to make fun, to laugh at","हसना, उपहास करना, मज़ाक उडाना",तक्तकँ हसनेभ्वादिः,124,FALSE
१.०१२५,तकिँ,तङ्क्, परस्मैपदी, अकर्मकः,सेट्,to live in distress,"दुःख से, तंगी से जीवन बिताना",तङ्क्तकिँ कृच्छ्रजीवनेभ्वादिः,125,FALSE
१.०१२६,बुक्कँ,बुक्क्, परस्मैपदी, अकर्मकः,सेट्,to bark,"भौंकना, कुत्ते के समान शब्द करना",बुक्क्बुक्कँ भषणेभ्वादिः,126,FALSE
१.०१२७,शुकँ,शुक्, परस्मैपदी, सकर्मकः,सेट्,"to move, to go",,शुक्शुकँ गतौभ्वादिः,127,FALSE
१.०१२८,कखँ,कख्, परस्मैपदी, अकर्मकः,सेट्,to laugh,हसना,कख्कखँ हसनेभ्वादिः,128,FALSE
१.०१२९,ओखृँ,ओख्, परस्मैपदी, सकर्मकः,सेट्,"to dry out, to decorate, to be sufficient, to refuse, to prevent, to stop","शुष्क होना, सूखना, कान्तिमान होना, अलंकृत करना",ओख्ओखृँ शोषणालमर्थयोःभ्वादिः,129,FALSE
